"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.50976,0,-0.0014061,0.00047285,0.74904,-4.3865e-17,-8.5519,2.5171e-14,-3.6556e-16,-1.133e-16,2.2888e-10,-1,8.2966e-08,0.27059,-1.2273e-23,-0.0099712
0.5121,0,-0.0014001,0.00046457,0.7517,1.275e-17,-8.4532,-2.5535e-15,-3.6568e-16,1.9731e-17,2.3049e-10,-1,8.4293e-08,0.27194,-1.2273e-23,-0.009975
0.5144,0,-0.0013951,0.00045604,0.75435,1.8196e-16,-8.356,5.2521e-15,-3.6543e-16,1.6771e-16,2.2867e-10,-1,8.4293e-08,0.2733,-1.2273e-23,-0.0099787
0.51668,0,-0.0013912,0.00044737,0.75699,4.3658e-18,-8.26,-2.8239e-15,-3.652e-16,1.1969e-17,2.3054e-10,-1,8.56e-08,0.27466,-1.2273e-23,-0.0099823
0.51894,0,-0.0013885,0.0004386,0.75961,5.0432e-16,-8.165,9.8641e-16,-3.6452e-16,5.0168e-16,2.3248e-10,-1,8.6888e-08,0.27601,-1.2273e-23,-0.009986
0.52118,0,-0.0013869,0.00042974,0.76223,-2.4432e-16,-8.0712,9.6636e-16,-3.6419e-16,-2.4689e-16,2.3126e-10,-1,8.6888e-08,0.27737,-1.2273e-23,-0.0099896
0.52339,0,-0.0013868,0.00042081,0.76483,9.9232e-17,-7.9801,-2.0045e-14,-3.6431e-16,1.5234e-16,2.3031e-10,-1,8.6888e-08,0.27873,-1.2273e-23,-0.0099932
0.52557,0,-0.0013884,0.00041185,0.76743,-3.2853e-17,-7.8889,1.6564e-14,-3.6421e-16,-7.6608e-17,2.3291e-10,-1,8.8156e-08,0.28009,-1.2273e-23,-0.0099968
0.52774,0,-0.0013913,0.00040289,0.77001,2.8791e-16,-7.7989,1.3661e-14,-3.6399e-16,2.5189e-16,2.3573e-10,-1,8.9407e-08,0.28144,-1.2273e-23,-0.01
0.52989,0,-0.0013957,0.00039394,0.77258,1.3183e-16,-7.7102,5.381e-15,-3.6351e-16,1.1766e-16,2.3554e-10,-1,8.9407e-08,0.2828,-1.2273e-23,-0.010004
0.53201,0,-0.0014017,0.00038502,0.77514,8.182e-17,-7.6249,-3.6461e-15,-3.6324e-16,9.1427e-17,2.3564e-10,-1,8.9407e-08,0.28416,-1.2273e-23,-0.010008
0.53412,0,-0.0014096,0.00037616,0.77769,2.7997e-16,-7.5397,-1.5792e-14,-3.6272e-16,3.2165e-16,2.3597e-10,-1,8.9407e-08,0.28551,-1.2273e-23,-0.010011
0.5362,0,-0.001419,0.00036738,0.78023,-2.6004e-17,-7.4557,-3.6398e-15,-3.6233e-16,-1.6372e-17,2.3662e-10,-1,8.9407e-08,0.28687,-1.2273e-23,-0.010015
0.53827,0,-0.0014297,0.00035867,0.78276,2.8981e-17,-7.3729,9.3373e-16,-3.6232e-16,2.65e-17,2.3754e-10,-1,8.9407e-08,0.28823,-1.2273e-23,-0.010018
0.54032,0,-0.0014419,0.00035004,0.78529,-1.4047e-16,-7.2914,-1.1675e-14,-3.6242e-16,-1.0931e-16,2.3867e-10,-1,8.9407e-08,0.28959,-1.2273e-23,-0.010022
0.54234,0,-0.0014557,0.00034156,0.7878,1.3881e-16,-7.2133,1.8691e-15,-3.6239e-16,1.3379e-16,2.4002e-10,-1,8.9407e-08,0.29094,-1.2273e-23,-0.010026
0.54435,0,-0.0014708,0.0003332,0.7903,2.0074e-16,-7.1354,8.0814e-15,-3.62e-16,1.789e-16,2.4158e-10,-1,8.9407e-08,0.2923,-1.2273e-23,-0.010029
0.54634,0,-0.001487,0.00032496,0.79279,2.1592e-17,-7.0588,5.2589e-15,-3.6177e-16,7.2791e-18,2.4336e-10,-1,8.9407e-08,0.29366,-1.2273e-23,-0.010033
